Name,X04.01.2018,X05.01.2018,X06.01.2018,X07.01.2018,X08.01.2018,X09.01.2018,X10.01.2018,X11.01.2018,X12.01.2018,X01.01.2019,X02.01.2019,X03.01.2019,X04.01.2019,X05.01.2019,X06.01.2019,X07.01.2019,X08.01.2019,X09.01.2019,X10.01.2019,X11.01.2019,X12.01.2019,X01.01.2020,X02.01.2020,X03.01.2020,X04.01.2020,X05.01.2020,X06.01.2020,X07.01.2020,X08.01.2020,X09.01.2020,X10.01.2020,X11.01.2020,X12.01.2020,X01.01.2021,X02.01.2021,X03.01.2021,X04.01.2021,X05.01.2021,X06.01.2021,X07.01.2021,X08.01.2021,X09.01.2021,X10.01.2021,X11.01.2021,X12.01.2021,X01.01.2022,X02.01.2022,X03.01.2022,X04.01.2022,X05.01.2022,X06.01.2022,X07.01.2022,X08.01.2022,X09.01.2022,X10.01.2022,X11.01.2022,X12.01.2022,X01.01.2023,X02.01.2023,X03.01.2023,X04.01.2023,X05.01.2023,X06.01.2023,X07.01.2023,X08.01.2023,X09.01.2023,X10.01.2023,X11.01.2023,X12.01.2023,X01.01.2024
BP-DC,0,1563588,1522247,1519376,1589328,1490548,1668961,1391475,1324780,1357036,1317881,1459076,1510608,1523364,1453170,1485152,1544429,1480431,1608939,1359159,1341486,1353775,1309620,575855,76145,89628,133197,159432,152556,164137,189960,168001,151024,135626,144323,186452,202544,6212,281876,330636,359885,403872,425258,419987,394978,313841,362002,491792,506246,538332,569630,534120,604340,656977,631444,551577,500335,481005,502972,586689,583296,628996,621627,609331,690958,651319,682652,610870,546080,0
DC-CM,0,1170693,1159004,1156919,1194768,1087827,1221381,1032496,975031,1012762,951385,1070583,1096591,1125876,1103070,1133535,1167847,1074084,1169199,997025,991990,1008396,937448,411778,49980,57400,86686,106157,102095,111449,129621,115356,102345,90727,96808,127765,142238,3712,208598,247313,265919,295991,311752,311680,291257,232606,257421,352413,367758,404722,432586,414342,456796,487256,463265,402006,367752,350587,353047,419512,420072,459263,465116,461940,510099,471866,490152,441250,403823,0
CM-SS,0,988243,983538,987151,1010196,922515,1030602,874829,827666,845401,797360,897359,918806,948428,935426,960440,988249,904849,981759,840859,840102,838937,779242,339334,40756,46302,68728,84308,82700,89510,104286,92907,82359,73298,76882,102991,116358,3220,177996,213603,229133,255599,269139,269414,250193,198077,219116,301694,317242,354136,377209,364400,400812,430709,405847,350612,319889,302793,304404,363350,364944,400420,407043,406196,446080,412899,428266,385431,353291,0
SS-SB,0,834097,835229,842176,855200,782240,868856,739917,702670,703907,666780,752986,771388,801294,795000,812884,839696,763329,824631,708618,713916,699485,648216,278267,31860,36305,53929,66804,66245,71968,84288,75703,65936,58304,60948,82855,95047,2781,150150,182677,195936,220101,231021,232712,214338,167686,185013,255379,270964,306356,325120,318644,348501,376822,351731,299851,275281,255348,255573,307592,311105,342290,350629,353167,384439,356336,367285,328805,303794,0
SFC-SO,0,379922,372637,391196,384659,347322,368133,327674,309899,272917,259221,307369,327539,358586,356584,378397,389713,339008,358977,319118,338589,291528,265981,123398,14216,14678,21844,27312,29413,32580,38973,35902,29675,26193,25917,37590,47444,1906,86323,108621,117233,132690,138142,142277,138559,98941,103314,152542,162028,193873,195259,202579,217836,242969,215929,180793,169310,146549,136449,172069,182484,207241,204866,217118,224860,219473,222761,203299,194655,0
SB-SFC,0,664943,666037,675591,679672,620760,685822,584992,554850,543152,516247,586091,602349,631820,630923,651780,669821,602474,649302,559200,566974,543658,500938,212281,21325,22813,35067,43896,45305,48726,56991,51296,43504,38727,39476,55546,66556,2284,116357,144862,155999,176195,184703,187871,168987,129870,143831,199576,217791,250849,263567,263152,287673,314916,290496,243352,224027,204277,203867,248113,253080,280808,288359,293353,318459,295249,300212,268318,248310,0
SFC-MB,0,317613,324874,313499,323367,298520,344161,284328,268763,291437,276352,302488,299886,302940,303691,304657,312116,289396,317753,265978,253667,275572,255009,98729,8517,9677,15561,19566,19092,19558,21888,18682,16621,15572,16291,21996,24050,498,38360,46031,50598,58623,61365,63162,42426,44801,52385,63502,75365,80870,93048,85585,96477,102075,102619,88781,79421,78864,86114,98686,94380,102525,114299,105649,124001,105264,107351,97409,84615,0
BF-BHC,0,1680487,1650761,1628675,1720458,1579693,1758101,1442581,1375622,1503630,1391167,1553709,1622289,1609838,1551930,1611439,1666621,1607412,1704348,1436996,1352781,1448252,1384324,593148,84916,102985,147692,171309,163568,168935,196561,173453,157652,146635,155941,193765,214354,5930,275785,318116,356741,384796,394457,386477,369154,293122,341808,472016,486414,505576,557798,507601,583323,586404,596003,528011,481262,470655,506870,585740,587058,619691,637243,606646,691128,635097,669423,580413,531036,0
BHC-HY,0,1012088,986429,959977,1022735,943891,1065246,874020,816305,902345,845777,938410,977205,966215,924672,961987,989398,965748,1035373,866797,802873,867732,836551,373743,61639,75095,105474,122302,114909,118020,139974,123936,113574,105111,110768,136649,147496,4260,181891,206941,236014,261826,264582,262665,246452,201666,238068,320827,321851,326511,359548,329135,381374,384753,397635,351580,316623,314293,336092,385670,385954,404086,413537,395124,445943,418100,448403,387933,347780,0
BHC-CV,0,719253,714486,719910,750427,683246,745401,613839,603595,646181,586114,660127,690458,690483,673088,699592,729089,690356,720431,615125,592408,625008,589263,242215,29895,35074,51820,60419,59201,61527,69101,61197,55348,51502,55163,69980,79660,1868,108354,127013,139339,143490,150105,144474,142828,109076,123028,175839,188369,203185,222834,202160,229681,230307,229230,204899,190433,182962,197742,229766,229802,247633,257590,245210,282737,252913,259758,226938,214800,0
